"","Compartment","Phylum","otu","mean","sd","se"
"68","rhizosphere","p__Cloacimonetes","OTU_7427",3.65553026291741e-06,1.67740056467123e-05,1.99070822359582e-06
"69","rhizosphere","p__Cyanobacteria","OTU_1364",0.000982366864795568,0.000393457722110924,4.66948407875979e-05
"70","rhizosphere","p__Deferribacteres","OTU_13340",1.06424001024508e-06,8.96744572093181e-06,1.06424001024508e-06
"71","rhizosphere","p__Deinococcus-Thermus","OTU_1575",6.69524814573207e-05,0.000110785875543515,1.3147864508199e-05
"72","rhizosphere","p__Diapherotrites","OTU_4289",8.47602751561201e-06,2.30120138672285e-05,2.73102359757293e-06
"73","rhizosphere","p__Elusimicrobia","OTU_1530",0.00257331362693901,0.00106734763603862,0.00012667085973672
"74","rhizosphere","p__Euryarchaeota","OTU_1270",0.000237257456811907,0.00021690477838561,2.57418612562645e-05
"75","rhizosphere","p__Fibrobacteres","OTU_1719",0.000418079424118638,0.000566275839944581,6.72045780324547e-05
"76","rhizosphere","p__Firmicutes","OTU_82",0.0132229416103977,0.00429386268019658,0.000509587747166039
"77","rhizosphere","p__Fusobacteria","OTU_22775",4.22447057157625e-06,1.29427885567173e-05,1.53602640649933e-06
"78","rhizosphere","p__Gemmatimonadetes","OTU_79",0.0202999363631302,0.00406654377437825,0.000482609956367451
"79","rhizosphere","p__GOUTA4","OTU_2696",1.54902011625274e-05,2.73713759366595e-05,3.24838469211561e-06
"80","rhizosphere","p__Gracilibacteria","OTU_6036",0.000104441852867338,8.81967585484529e-05,1.04670295357456e-05
"81","rhizosphere","p__Hydrogenedentes","OTU_303",0.000881110605684116,0.000322372818493898,3.82586148088814e-05
"82","rhizosphere","p__JL-ETNP-Z39","OTU_1420",6.50270475236999e-05,8.80952530031982e-05,1.04549830438143e-05
"83","rhizosphere","p__Kazan-3B-09","OTU_14563",9.54579819418954e-07,8.04343252887575e-06,9.54579819418954e-07
"84","rhizosphere","p__Latescibacteria","OTU_436",0.00492509416960613,0.00176032072701438,0.000208911635135914
"85","rhizosphere","p__Lentisphaerae","OTU_2715",4.92419256830971e-05,5.22233668796829e-05,6.19777339419361e-06
"86","rhizosphere","p__Marinimicrobia (SAR406 clade)","OTU_6810",2.11162899199872e-06,1.06599502997525e-05,1.26510334930043e-06
"87","rhizosphere","p__Microgenomates","OTU_2097",0.000351039124650187,0.000211160309573428,2.50601182340281e-05
"88","rhizosphere","p__Mollusca","OTU_2135",6.10026306795539e-06,1.62078922423765e-05,1.92352292312349e-06
"89","rhizosphere","p__Nitrospirae","OTU_7",0.0142899501072656,0.00295311838204078,0.000350470673028111
"90","rhizosphere","p__Omnitrophica","OTU_4521",0.000223489661034679,0.000195995613709515,2.32603999436901e-05
"91","rhizosphere","p__Parcubacteria","OTU_2167",0.000891755951230998,0.000478463323202583,5.67831496095303e-05
"92","rhizosphere","p__Parvarchaeota","OTU_22487",0,0,0
"93","rhizosphere","p__PAUC34f","OTU_8694",5.61700131929796e-06,1.38677875652334e-05,1.64580359221478e-06
"94","rhizosphere","p__Planctomycetes","OTU_53",0.03810475962209,0.00505494597364207,0.000599911716467927
"95","rhizosphere","p__Proteobacteria","OTU_28",0.272518488274523,0.0342169936796433,0.00406081004975356
"96","rhizosphere","p__Saccharibacteria","OTU_940",0.000339984920279835,0.000180246300555472,2.13913003456531e-05
"97","rhizosphere","p__SHA-109","OTU_2264",7.39000298924858e-05,6.76797621281468e-05,8.03211003246076e-06
"98","rhizosphere","p__SM2F11","OTU_3307",0.000170749693130572,0.000138474878796989,1.64339446276884e-05
"99","rhizosphere","p__Spirochaetae","OTU_1283",0.000144357787674167,0.000163718450792357,1.94298054508283e-05
"100","rhizosphere","p__TA06","OTU_5749",6.88124904874533e-06,3.41992728669461e-05,4.05870697620583e-06
"101","rhizosphere","p__Tenericutes","OTU_1200",0.000158888122776248,0.000288918688745761,3.42883400512888e-05
"102","rhizosphere","p__Thaumarchaeota","OTU_3",0.0595889998649857,0.0161772610883706,0.00191988767394914
"103","rhizosphere","p__Thermotogae","OTU_5375",4.20146937951651e-06,1.17913043168023e-05,1.3993703689363e-06
"104","rhizosphere","p__TM6","OTU_1615",0.000761867581989294,0.000330693089547633,3.92460493166588e-05
"105","rhizosphere","p__Verrucomicrobia","OTU_2",0.147442998317065,0.0347289093252012,0.00412156325962263
"106","rhizosphere","p__WCHB1-60","OTU_2475",0.000180338737918308,0.000127927684762,1.51822229850747e-05
"107","rhizosphere","p__WD272","OTU_5519",4.75192193750863e-06,2.03218292699135e-05,2.41175742384803e-06
"108","rhizosphere","p__Woesearchaeota (DHVEG-6)","OTU_5595",0.000161022363674754,0.000143998740881547,1.70895064481229e-05
"109","rhizoplane","p__Acidobacteria","OTU_17",0.124076983437465,0.0329323697981055,0.00393617105558756
"110","rhizoplane","p__Actinobacteria","OTU_34",0.0494505190618414,0.021291405216228,0.00254480966473672
"111","rhizoplane","p__Aenigmarchaeota","OTU_18078",3.60622867817295e-07,3.01718738156812e-06,3.60622867817295e-07
"112","rhizoplane","p__Aerophobetes","OTU_5288",1.3078271144378e-05,2.4968286516203e-05,2.9842810370224e-06
"113","rhizoplane","p__Aminicenantes","OTU_7261",1.80936158439653e-06,6.70808010499883e-06,8.01768925520147e-07
"114","rhizoplane","p__Armatimonadetes","OTU_359",0.00701993950653841,0.00194759608445829,0.000232782255957219
"115","rhizoplane","p__Bacteroidetes","OTU_4",0.228965185997538,0.0541385835405184,0.00647079839164677
"116","rhizoplane","p__Candidate division OP3","OTU_3338",0.000217305738879156,0.000163210767275345,1.9507417839891e-05
"117","rhizoplane","p__Candidate division SR1","OTU_9059",7.1528036098652e-06,3.68161455648484e-05,4.40037104645263e-06
"118","rhizoplane","p__Candidate division WS6","OTU_6584",7.8731459131746e-06,1.9553874800344e-05,2.3371350584714e-06
"119","rhizoplane","p__Chlamydiae","OTU_1136",0.000560367017701667,0.000323156061529883,3.86245370020341e-05
"120","rhizoplane","p__Chlorobi","OTU_470",0.00222853810051193,0.000774722098263994,9.25970016128697e-05
"121","rhizoplane","p__Chloroflexi","OTU_75",0.0164851549541923,0.00461828083789256,0.000551990138339
"122","rhizoplane","p__Cloacimonetes","OTU_7427",9.03457441057499e-07,5.84933124705286e-06,6.9912880519512e-07
"123","rhizoplane","p__Cyanobacteria","OTU_1364",0.00171858898386761,0.0011706509692013,0.000139919552993443
"124","rhizoplane","p__Deferribacteres","OTU_13340",1.3634591011267e-06,9.03537437963801e-06,1.07993379545904e-06
"125","rhizoplane","p__Deinococcus-Thermus","OTU_1575",0.000129477967989922,0.000239754510972796,2.86561450731662e-05
"126","rhizoplane","p__Diapherotrites","OTU_4289",5.62245362900941e-06,1.91619771554895e-05,2.29029433076532e-06
"127","rhizoplane","p__Elusimicrobia","OTU_1530",0.0018568292297923,0.000786533558333716,9.4008741112204e-05
"128","rhizoplane","p__Euryarchaeota","OTU_1270",0.000136476089622949,0.000165024110593608,1.97241538211443e-05
"129","rhizoplane","p__Fibrobacteres","OTU_1719",0.00065393616947972,0.000624047374597548,7.45879275699007e-05
"130","rhizoplane","p__Firmicutes","OTU_82",0.00776597373401213,0.00666379234505175,0.000796475525746938
"131","rhizoplane","p__Fusobacteria","OTU_22775",6.17192565139386e-06,1.89883004918515e-05,2.26953599904992e-06
"132","rhizoplane","p__Gemmatimonadetes","OTU_79",0.0147406485971543,0.00398691110387249,0.000476527021422137
"133","rhizoplane","p__GOUTA4","OTU_2696",8.12964960240762e-06,2.17379165809652e-05,2.59817798048941e-06
"134","rhizoplane","p__Gracilibacteria","OTU_6036",0.000115836721837783,0.000121851759290582,1.45640708801832e-05
"135","rhizoplane","p__Hydrogenedentes","OTU_303",0.000531861672668928,0.000461695181672989,5.51831289927397e-05
"136","rhizoplane","p__JL-ETNP-Z39","OTU_1420",6.5284182595657e-05,0.000113723801951882,1.35925941655168e-05
"137","rhizoplane","p__Kazan-3B-09","OTU_14563",0,0,0
"138","rhizoplane","p__Latescibacteria","OTU_436",0.00347845725420181,0.00148080481059676,0.000176990027446524
"139","rhizoplane","p__Lentisphaerae","OTU_2715",2.9694893605231e-05,4.42628605781302e-05,5.29042372939607e-06
"140","rhizoplane","p__Marinimicrobia (SAR406 clade)","OTU_6810",4.32228471465093e-06,1.51442447241068e-05,1.81008345610139e-06
